epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,123.845,1.7892,0.19178,0.85845,1.84209,0.000328502,0.000328502,0.000328502
2,246.283,1.74246,0.21005,0.88128,1.7878,0.000653646,0.000653646,0.000653646
3,367.793,1.72908,0.18721,0.88128,1.76887,0.000970539,0.000970539,0.000970539
4,489.928,1.74078,0.17352,0.84932,1.8902,0.000962875,0.000962875,0.000962875
5,611.475,1.70169,0.20091,0.89498,1.79614,0.0009505,0.0009505,0.0009505
6,733.532,1.69557,0.20091,0.92237,1.69412,0.000938125,0.000938125,0.000938125
7,854.463,1.63559,0.21005,0.90868,1.79894,0.00092575,0.00092575,0.00092575
8,976.535,1.64214,0.22831,0.90411,1.98199,0.000913375,0.000913375,0.000913375
9,1098.63,1.61267,0.24658,0.90868,1.7624,0.000901,0.000901,0.000901
10,1219.77,1.61447,0.24658,0.89954,1.80364,0.000888625,0.000888625,0.000888625
11,1341.24,1.57475,0.27397,0.91781,1.85888,0.00087625,0.00087625,0.00087625
12,1462.63,1.55224,0.20548,0.91781,1.79541,0.000863875,0.000863875,0.000863875
13,1581.26,1.53485,0.24658,0.91781,1.76601,0.0008515,0.0008515,0.0008515
14,1692.73,1.53847,0.21005,0.91324,1.77234,0.000839125,0.000839125,0.000839125
15,1803.44,1.50178,0.22374,0.89954,1.83398,0.00082675,0.00082675,0.00082675
16,1914.05,1.47933,0.25571,0.90868,1.86213,0.000814375,0.000814375,0.000814375
17,2024.24,1.44815,0.21918,0.91781,1.85888,0.000802,0.000802,0.000802
18,2134.9,1.48302,0.24201,0.91324,1.77945,0.000789625,0.000789625,0.000789625
19,2246.02,1.42111,0.24658,0.90411,1.76622,0.00077725,0.00077725,0.00077725
20,2356.1,1.4086,0.21005,0.94064,1.80834,0.000764875,0.000764875,0.000764875
21,2466.74,1.39999,0.21461,0.92237,1.95188,0.0007525,0.0007525,0.0007525
22,2577.4,1.33969,0.24201,0.92694,1.81455,0.000740125,0.000740125,0.000740125
23,2687.28,1.31681,0.27397,0.92237,1.86454,0.00072775,0.00072775,0.00072775
24,2797.15,1.32109,0.21918,0.92694,1.88298,0.000715375,0.000715375,0.000715375
25,2907.45,1.31697,0.24658,0.90868,1.93692,0.000703,0.000703,0.000703
26,3017.12,1.28978,0.25114,0.93151,1.89579,0.000690625,0.000690625,0.000690625
27,3127.85,1.24689,0.21461,0.93607,1.97292,0.00067825,0.00067825,0.00067825
28,3238.4,1.27417,0.20548,0.93151,1.84681,0.000665875,0.000665875,0.000665875
29,3348.48,1.24478,0.25114,0.93151,1.91916,0.0006535,0.0006535,0.0006535
30,3459.38,1.22631,0.25114,0.92694,1.89248,0.000641125,0.000641125,0.000641125
31,3569.21,1.18819,0.29224,0.90868,1.89659,0.00062875,0.00062875,0.00062875
32,3680.22,1.18243,0.27397,0.92237,1.94373,0.000616375,0.000616375,0.000616375
33,3790.48,1.2071,0.27854,0.89041,1.869,0.000604,0.000604,0.000604
34,3901.24,1.16397,0.23744,0.92237,1.88485,0.000591625,0.000591625,0.000591625
35,4011.6,1.11591,0.2968,0.91324,1.79165,0.00057925,0.00057925,0.00057925
36,4122.02,1.14949,0.22374,0.93151,1.9572,0.000566875,0.000566875,0.000566875
37,4231.65,1.11801,0.26941,0.93151,2.01428,0.0005545,0.0005545,0.0005545
38,4342.58,1.09153,0.27854,0.94064,1.92984,0.000542125,0.000542125,0.000542125
39,4452.83,1.06817,0.3242,0.94521,1.68805,0.00052975,0.00052975,0.00052975
40,4563.22,1.05666,0.34247,0.93607,1.88835,0.000517375,0.000517375,0.000517375
41,4676.57,1.04698,0.30137,0.94977,1.85331,0.000505,0.000505,0.000505
42,4787.73,1.01683,0.28767,0.92237,2.01761,0.000492625,0.000492625,0.000492625
43,4898.56,1.02519,0.28767,0.93151,1.95414,0.00048025,0.00048025,0.00048025
44,5009.51,0.98329,0.31963,0.94064,2.14023,0.000467875,0.000467875,0.000467875
45,5119.3,0.98676,0.31963,0.94064,1.90394,0.0004555,0.0004555,0.0004555
46,5230.21,0.96632,0.31507,0.94977,1.90238,0.000443125,0.000443125,0.000443125
47,5341.21,0.9558,0.3242,0.93607,1.92992,0.00043075,0.00043075,0.00043075
48,5451.56,0.93727,0.30137,0.94521,1.88151,0.000418375,0.000418375,0.000418375
49,5563.31,0.93279,0.36986,0.95434,1.79835,0.000406,0.000406,0.000406
50,5673.38,0.92715,0.31963,0.94977,1.89031,0.000393625,0.000393625,0.000393625
51,5784.3,0.89034,0.30594,0.94064,1.88628,0.00038125,0.00038125,0.00038125
52,5894.62,0.89204,0.3242,0.94977,1.86206,0.000368875,0.000368875,0.000368875
53,6004.67,0.8778,0.31963,0.94521,1.94818,0.0003565,0.0003565,0.0003565
54,6114.85,0.88505,0.30594,0.95434,1.94174,0.000344125,0.000344125,0.000344125
55,6225,0.86031,0.2968,0.94977,1.98202,0.00033175,0.00033175,0.00033175
56,6334.92,0.82136,0.3379,0.93151,1.93145,0.000319375,0.000319375,0.000319375
57,6459.4,0.84323,0.33333,0.93607,1.83492,0.000307,0.000307,0.000307
58,6597.72,0.81013,0.31507,0.94064,1.90934,0.000294625,0.000294625,0.000294625
59,6736.12,0.78257,0.30137,0.93607,1.83501,0.00028225,0.00028225,0.00028225
60,6874.94,0.74529,0.30594,0.95434,1.92999,0.000269875,0.000269875,0.000269875
61,7014.32,0.75285,0.27397,0.96347,2.03587,0.0002575,0.0002575,0.0002575
62,7153.82,0.74925,0.3242,0.94521,1.95467,0.000245125,0.000245125,0.000245125
63,7300.2,0.73813,0.3242,0.94977,1.96287,0.00023275,0.00023275,0.00023275
64,7450.21,0.75164,0.34703,0.93151,2.01449,0.000220375,0.000220375,0.000220375
65,7598.4,0.73475,0.34247,0.94977,1.96973,0.000208,0.000208,0.000208
66,7746.38,0.71505,0.36073,0.94977,1.96413,0.000195625,0.000195625,0.000195625
67,7893.98,0.70293,0.3105,0.95434,2.10213,0.00018325,0.00018325,0.00018325
68,8041.24,0.68406,0.29224,0.95434,2.07154,0.000170875,0.000170875,0.000170875
69,8191.45,0.67869,0.2968,0.9589,1.99739,0.0001585,0.0001585,0.0001585
70,8336.82,0.65075,0.3105,0.96347,2.10712,0.000146125,0.000146125,0.000146125
71,8479.39,0.66528,0.3242,0.96347,2.06887,0.00013375,0.00013375,0.00013375
72,8618.59,0.65198,0.3242,0.9589,2.04982,0.000121375,0.000121375,0.000121375
73,8766.3,0.66021,0.31507,0.95434,2.07108,0.000109,0.000109,0.000109
